;;;H;L0;L1;L2;L3;L4;L5;Q0;Q1;Q2;M0;M1;M2;G0;G1;G2;;Present in..;Req. weight;;E1;E2 (k=2);E3 (k=3);E4 (k=4);E0 (w0,4);
;W.10.10;Secure Storage Media Handling;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.10.11;Network Communication Security;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.10.12;Data Transmission Integrity;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.10.13;IoT Middleware Security;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;;2;0,825455015;;Yes;Yes;No;No;Yes;
;W.10.14;Administrative Device Encryption;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.10.15;Secure Data Store Encryption;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;;3;0,926216981;;Yes;Yes;Yes;No;Yes;
;W.10.16;Secure Communication Channels;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;;1;0,337296233;;Yes;No;No;No;No;
;W.10.17;System Operation Resilience;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;W.10.18;Security Management Compliance;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;W.10.19;Secure Access Control System Key Management;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;1;0,398686129;;Yes;No;No;No;No;
;W.10.20;Warehouse Inventory System Key Management;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;2;0,680501415;;Yes;Yes;No;No;Yes;
;W.10.21;Finished Car Registry Key Management;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;2;0,680501415;;Yes;Yes;No;No;Yes;
;W.10.22;Purchase Order and Transport Order Data Stores Key Management;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;2;0,680501415;;Yes;Yes;No;No;Yes;
;W.10.23;Secure Key Management for IoT Middleware Platforms;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;Yes;;3;1,052059657;;Yes;Yes;Yes;No;Yes;
;W.10.24;AGVs Data Encryption and Key Management;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;;1;0,344927926;;Yes;No;No;No;No;
;W.10.25;Secure Cryptographic Key Lifecycle Management for IoT Middleware;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;;1;0,316854024;;Yes;No;No;No;No;
Total hallucinated requirements;87;;;;;;;;;;;;;;;;;;;;;;87;19;7;4;17;
